구분,유형,퍼센트
5만원이상 10만원이하,자진반환 누적 평균 지급률,89.6
5만원이상 10만원이하,법적절차 누적 평균 지급률,69.4
5만원이상 10만원이하,전체 누적 평균 지급률,89.5
10만원초과 20만원이하,자진반환 누적 평균 지급률,93.4
10만원초과 20만원이하,법적절차 누적 평균 지급률,78.5
10만원초과 20만원이하,전체 누적 평균 지급률,92.9
20만원초과 30만원이하,자진반환 누적 평균 지급률,94.7
20만원초과 30만원이하,법적절차 누적 평균 지급률,83.4
20만원초과 30만원이하,전체 누적 평균 지급률,94.1
30만원초과 50만원이하,자진반환 누적 평균 지급률,95.4
30만원초과 50만원이하,법적절차 누적 평균 지급률,85.9
30만원초과 50만원이하,전체 누적 평균 지급률,94.9
50만원초과 100만원이하,자진반환 누적 평균 지급률,95.9
50만원초과 100만원이하,법적절차 누적 평균 지급률,88.3
50만원초과 100만원이하,전체 누적 평균 지급률,95.4
100만원초과 500만원이하,자진반환 누적 평균 지급률,96.3
100만원초과 500만원이하,법적절차 누적 평균 지급률,90.9
100만원초과 500만원이하,전체 누적 평균 지급률,95.8
500만원초과 1000만원이하,자진반환 누적 평균 지급률,96.5
500만원초과 1000만원이하,법적절차 누적 평균 지급률,92.2
500만원초과 1000만원이하,전체 누적 평균 지급률,96.1
1000만원초과 5000만원이하,자진반환 누적 평균 지급률,96.6
1000만원초과 5000만원이하,법적절차 누적 평균 지급률,92.6
1000만원초과 5000만원이하,전체 누적 평균 지급률,96.5