행정구역(시군구)별,지역코드,총인구수 (명),남자인구수 (명),여자인구수 (명),,
　　　종로구,11110,"138,879","66,846","72,033",,
　　　중구,11140,"121,324","58,447","62,877",,
　　　용산구,11170,"205,145","98,118","107,027",,
　　　성동구,11200,"275,403","133,271","142,132",,
　　　광진구,11215,"333,403","159,948","173,455",,
　　　동대문구,11230,"340,686","166,693","173,993",,
　　　중랑구,11260,"380,353","186,052","194,301",,
　　　성북구,11290,"423,439","202,975","220,464",,
　　　강북구,11305,"284,313","137,246","147,067",,
　　　도봉구,11320,"304,255","147,261","156,994",,
　　　노원구,11350,"493,486","236,548","256,938",,
　　　은평구,11380,"462,514","219,045","243,469",,
　　　서대문구,11410,"304,523","144,288","160,235",,
　　　마포구,11440,"362,564","168,948","193,616",,
　　　양천구,11470,"432,523","210,874","221,649",,
　　　강서구,11500,"557,662","267,019","290,643",,
　　　구로구,11530,"389,416","190,695","198,721",,
　　　금천구,11545,"226,003","113,632","112,371",,
　　　영등포구,11560,"374,653","183,189","191,464",,
　　　동작구,11590,"377,137","182,205","194,932",,
　　　관악구,11620,"479,774","241,605","238,169",,
　　　서초구,11650,"408,060","194,085","213,975",,
　　　강남구,11680,"558,508","267,096","291,412",,
　　　송파구,11710,"651,882","312,684","339,198",,
　　　강동구,11740,"465,090","227,021","238,069",,
　　　중구,26110,"37,904","18,399","19,505",,
　　　서구,26140,"103,197","49,593","53,604",,
　　　동구,26170,"86,308","41,936","44,372",,
　　　영도구,26200,"104,661","51,395","53,266",,
　　　부산진구,26230,"361,437","173,291","188,146",,
　　　동래구,26260,"269,086","129,712","139,374",,
　　　남구,26290,"255,387","124,281","131,106",,
　　　북구,26320,"269,446","132,246","137,200",,
　　　해운대구,26350,"377,184","180,736","196,448",,
　　　사하구,26380,"292,722","145,202","147,520",,
　　　금정구,26410,"211,783","103,114","108,669",,
　　　강서구,26440,"143,027","74,141","68,886",,
　　　연제구,26470,"212,413","101,353","111,060",,
　　　수영구,26500,"172,651","80,830","91,821",,
　　　사상구,26530,"199,879","100,135","99,744",,
　　　기장군,26710,"176,388","87,419","88,969",,
　　　중구,27110,"94,808","45,385","49,423",,
　　　동구,27140,"343,398","168,106","175,292",,
　　　서구,27170,"163,463","81,131","82,332",,
　　　남구,27200,"135,957","64,886","71,071",,
　　　북구,27230,"414,883","205,533","209,350",,
　　　수성구,27260,"408,477","196,510","211,967",,
　　　달서구,27290,"523,712","256,583","267,129",,
　　　달성군,27710,"258,267","131,023","127,244",,
　　　군위군,27720,"22,558","11,655","10,903",,
　　　중구,28110,"165,420","85,536","79,884",,
　　　동구,28140,"58,549","29,339","29,210",,
　　　미추홀구,28177,"410,913","206,811","204,102",,
　　　연수구,28185,"398,972","197,581","201,391",,
　　　남동구,28200,"487,569","242,019","245,550",,
　　　부평구,28237,"493,253","242,543","250,710",,
　　　계양구,28245,"281,172","139,830","141,342",,
　　　서구,28260,"631,652","317,849","313,803",,
　　　강화군,28710,"68,891","34,467","34,424",,
　　　옹진군,28720,"20,129","11,464","8,665",,
　　　동구,29110,"106,354","52,294","54,060",,
　　　서구,29140,"280,045","136,908","143,137",,
　　　남구,29155,"207,363","99,145","108,218",,
　　　북구,29170,"424,942","210,128","214,814",,
　　　광산구,29200,"392,653","198,236","194,417",,
　　　동구,30110,"218,016","109,770","108,246",,
　　　중구,30140,"224,279","110,007","114,272",,
　　　서구,30170,"459,585","225,295","234,290",,
　　　유성구,30200,"369,405","187,104","182,301",,
　　　대덕구,30230,"169,171","85,933","83,238",,
　　　중구,31110,"207,268","104,873","102,395",,
　　　남구,31140,"304,818","155,696","149,122",,
　　　동구,31170,"151,117","78,858","72,259",,
　　　북구,31200,"216,645","112,318","104,327",,
　　　울주군,31710,"218,880","113,322","105,558",,
세종특별자치시,36110,"389,443","193,854","195,589",,
수원시 장안구,41111,"275,025","138,047","136,978",,
수원시 권선구,41113,"363,741","183,799","179,942",,
수원시 팔달구,41115,"195,000","98,068","96,932",,
수원시 영통구,41117,"361,279","181,090","180,189",,
성남시 수정구,41131,"236,258","119,586","116,672",,
성남시 중원구,41133,"208,262","105,057","103,205",,
성남시 분당구,41135,"470,312","227,952","242,360",,
　　　의정부시,41150,"460,284","226,032","234,252",,
안양시 만안구,41171,"227,269","113,310","113,959",,
안양시 동안구,41173,"323,959","158,565","165,394",,
　　　부천시,41190,"772,450","381,471","390,979",,
　　　광명시,41210,"277,564","136,011","141,553",,
　　　평택시,41220,"596,228","313,097","283,131",,
　　　동두천시,41250,"87,099","43,388","43,711",,
안산시 상록구,41271,"328,822","167,846","160,976",,
안산시 단원구,41273,"294,434","151,462","142,972",,
고양시 덕양구,41281,"493,647","242,412","251,235",,
고양시 일산동구,41285,"294,403","142,853","151,550",,
고양시 일산서구,41287,"283,384","137,012","146,372",,
　　　과천시,41290,"85,397","41,731","43,666",,
　　　구리시,41310,"186,571","92,278","94,293",,
　　　남양주시,41360,"732,783","363,033","369,750",,
　　　오산시,41370,"238,788","124,591","114,197",,
　　　시흥시,41390,"518,559","270,402","248,157",,
　　　군포시,41410,"257,498","127,765","129,733",,
　　　의왕시,41430,"154,923","76,728","78,195",,
　　　하남시,41450,"329,693","163,954","165,739",,
용인시 처인구,41461,"272,159","139,612","132,547",,
용인시 기흥구,41463,"437,121","215,464","221,657",,
용인시 수지구,41465,"375,537","182,716","192,821",,
　　　파주시,41480,"508,680","257,006","251,674",,
　　　이천시,41500,"223,422","116,487","106,935",,
　　　안성시,41550,"193,220","99,845","93,375",,
　　　김포시,41570,"486,258","242,774","243,484",,
　　　화성시,41590,"961,688","499,225","462,463",,
　　　광주시,41610,"396,055","201,820","194,235",,
　　　양주시,41630,"285,930","143,958","141,972",,
　　　포천시,41650,"141,825","75,025","66,800",,
　　　여주시,41670,"114,750","58,416","56,334",,
　　　연천군,41800,"40,894","21,436","19,458",,
　　　가평군,41820,"62,492","32,196","30,296",,
　　　양평군,41830,"126,982","63,780","63,202",,
　　　춘천시,51110,"286,124","141,274","144,850",,
　　　원주시,51130,"362,017","179,228","182,789",,
　　　강릉시,51150,"208,161","103,175","104,986",,
　　　동해시,51170,"87,724","44,517","43,207",,
　　　태백시,51190,"38,103","19,240","18,863",,
　　　속초시,51210,"81,164","40,078","41,086",,
　　　삼척시,51230,"62,111","31,627","30,484",,
　　　홍천군,51720,"67,067","34,593","32,474",,
　　　횡성군,51730,"46,238","23,755","22,483",,
　　　영월군,51750,"36,955","19,109","17,846",,
　　　평창군,51760,"40,448","20,963","19,485",,
　　　정선군,51770,"33,661","17,558","16,103",,
　　　철원군,51780,"40,646","21,017","19,629",,
　　　화천군,51790,"22,965","12,286","10,679",,
　　　양구군,51800,"20,740","10,856","9,884",,
　　　인제군,51810,"31,644","17,268","14,376",,
　　　고성군,51820,"27,060","13,866","13,194",,
　　　양양군,51830,"27,582","14,141","13,441",,
청주시 상당구,43111,"198,635","98,614","100,021",,
청주시 서원구,43112,"182,623","90,942","91,681",,
청주시 흥덕구,43113,"283,094","144,211","138,883",,
청주시 청원구,43114,"189,586","97,665","91,921",,
　　　충주시,43130,"207,369","105,203","102,166",,
　　　제천시,43150,"129,066","65,018","64,048",,
　　　보은군,43720,"30,620","15,530","15,090",,
　　　옥천군,43730,"48,390","24,457","23,933",,
　　　영동군,43740,"43,680","21,969","21,711",,
　　　증평군,43745,"37,207","19,378","17,829",,
　　　진천군,43750,"86,742","45,846","40,896",,
　　　괴산군,43760,"36,021","18,633","17,388",,
　　　음성군,43770,"90,377","48,099","42,278",,
　　　단양군,43800,"27,448","14,012","13,436",,
천안시 동남구,44131,"260,593","132,161","128,432",,
천안시 서북구,44133,"398,238","205,840","192,398",,
　　　공주시,44150,"101,695","50,721","50,974",,
　　　보령시,44180,"94,191","47,718","46,473",,
　　　아산시,44200,"353,603","184,366","169,237",,
　　　서산시,44210,"175,144","91,730","83,414",,
　　　논산시,44230,"108,883","54,491","54,392",,
　　　계룡시,44250,"46,687","23,268","23,419",,
　　　당진시,44270,"171,213","91,713","79,500",,
　　　금산군,44710,"49,737","25,188","24,549",,
　　　부여군,44760,"59,823","29,798","30,025",,
　　　서천군,44770,"48,458","24,007","24,451",,
　　　청양군,44790,"29,687","15,199","14,488",,
　　　홍성군,44800,"98,866","49,362","49,504",,
　　　예산군,44810,"78,195","39,253","38,942",,
　　　태안군,44825,"60,360","30,577","29,783",,
전주시 완산구,45111,"323,278","156,881","166,397",,
전주시 덕진구,45113,"314,741","156,288","158,453",,
　　　군산시,45130,"258,264","130,932","127,332",,
　　　익산시,45140,"267,604","133,184","134,420",,
　　　정읍시,45180,"102,391","51,081","51,310",,
　　　남원시,45190,"75,646","37,150","38,496",,
　　　김제시,45210,"80,691","40,369","40,322",,
　　　완주군,45710,"99,042","50,839","48,203",,
　　　진안군,45720,"24,277","12,406","11,871",,
　　　무주군,45730,"23,101","11,600","11,501",,
　　　장수군,45740,"20,752","10,416","10,336",,
　　　임실군,45750,"25,693","13,262","12,431",,
　　　순창군,45770,"26,803","13,195","13,608",,
　　　고창군,45790,"51,058","25,515","25,543",,
　　　부안군,45800,"48,299","24,117","24,182",,
　　　목포시,46110,"210,806","104,769","106,037",,
　　　여수시,46130,"268,823","136,855","131,968",,
　　　순천시,46150,"276,375","138,009","138,366",,
　　　나주시,46170,"116,891","59,048","57,843",,
　　　광양시,46230,"154,266","80,852","73,414",,
　　　담양군,46710,"44,800","22,594","22,206",,
　　　곡성군,46720,"26,638","13,236","13,402",,
　　　구례군,46730,"24,056","11,755","12,301",,
　　　고흥군,46770,"60,385","29,645","30,740",,
　　　보성군,46780,"37,164","18,229","18,935",,
　　　화순군,46790,"60,886","30,189","30,697",,
　　　장흥군,46800,"34,544","16,913","17,631",,
　　　강진군,46810,"32,306","15,822","16,484",,
　　　해남군,46820,"63,457","31,768","31,689",,
　　　영암군,46830,"51,573","27,025","24,548",,
　　　무안군,46840,"92,009","46,195","45,814",,
　　　함평군,46860,"30,107","15,312","14,795",,
　　　영광군,46870,"51,688","25,844","25,844",,
　　　장성군,46880,"42,129","21,649","20,480",,
　　　완도군,46890,"45,837","23,169","22,668",,
　　　진도군,46900,"28,623","14,217","14,406",,
　　　신안군,46910,"38,133","20,574","17,559",,
포항시 남구,47111,"222,176","115,439","106,737",,
포항시 북구,47113,"269,865","134,538","135,327",,
　　　경주시,47130,"245,365","122,919","122,446",,
　　　김천시,47150,"135,767","68,229","67,538",,
　　　안동시,47170,"153,348","76,034","77,314",,
　　　구미시,47190,"404,691","209,001","195,690",,
　　　영주시,47210,"99,309","49,353","49,956",,
　　　영천시,47230,"99,034","50,664","48,370",,
　　　상주시,47250,"92,452","45,622","46,830",,
　　　문경시,47280,"67,544","33,185","34,359",,
　　　경산시,47290,"266,951","134,220","132,731",,
　　　의성군,47730,"48,994","24,364","24,630",,
　　　청송군,47750,"23,776","11,913","11,863",,
　　　영양군,47760,"15,403","7,680","7,723",,
　　　영덕군,47770,"33,356","15,944","17,412",,
　　　청도군,47820,"40,778","20,283","20,495",,
　　　고령군,47830,"30,200","15,565","14,635",,
　　　성주군,47840,"41,591","21,755","19,836",,
　　　칠곡군,47850,"108,119","56,786","51,333",,
　　　예천군,47900,"54,873","27,034","27,839",,
　　　봉화군,47920,"29,082","14,818","14,264",,
　　　울진군,47930,"46,112","23,331","22,781",,
　　　울릉군,47940,"9,169","5,127","4,042",,
창원시 의창구,48121,"209,956","106,689","103,267",,
창원시 성산구,48123,"244,953","125,017","119,936",,
창원시 마산합포구,48125,"178,820","88,800","90,020",,
창원시 마산회원구,48127,"178,922","89,198","89,724",,
창원시 진해구,48129,"189,251","97,365","91,886",,
　　　진주시,48170,"339,388","167,610","171,778",,
　　　통영시,48220,"118,896","59,708","59,188",,
　　　사천시,48240,"108,650","55,068","53,582",,
　　　김해시,48250,"531,966","269,077","262,889",,
　　　밀양시,48270,"100,802","49,839","50,963",,
　　　거제시,48310,"232,921","122,060","110,861",,
　　　양산시,48330,"358,074","179,264","178,810",,
　　　의령군,48720,"25,168","12,547","12,621",,
　　　함안군,48730,"59,102","30,309","28,793",,
　　　창녕군,48740,"56,246","28,167","28,079",,
　　　고성군,48820,"48,356","24,508","23,848",,
　　　남해군,48840,"40,060","19,502","20,558",,
　　　하동군,48850,"40,909","20,433","20,476",,
　　　산청군,48860,"33,373","16,538","16,835",,
　　　함양군,48870,"36,307","17,688","18,619",,
　　　거창군,48880,"59,737","29,396","30,341",,
　　　합천군,48890,"40,440","19,860","20,580",,
　　　제주시,50110,"488,844","244,006","244,838",,
　　　서귀포시,50130,"182,220","91,711","90,509",,
